                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58494,                 2.6658,                 1.0692,                0.23932,                0.47687,                0.27925,                0.26274,                0.31595,                 1.8825,                0.85787,               0.067229,             0.00033102,             0.00033102
                      2,                 0.4635,                 1.7085,                 1.0233,                0.43478,                0.57645,                0.49408,                0.48157,                0.23506,                 1.2929,                0.81601,               0.034223,             0.00065777,             0.00065777
                      3,                0.41004,                 1.2935,                0.97471,                0.55757,                0.65059,                0.62376,                0.61238,                 0.2101,                  1.034,                0.79708,              0.0012094,             0.00097793,             0.00097793
                      4,                 0.3792,                0.99878,                0.94078,                 0.6119,                0.68047,                 0.6968,                0.68731,                0.19551,                0.84432,                0.78405,              0.0009703,              0.0009703,              0.0009703
                      5,                0.36311,                0.86108,                0.92805,                0.68491,                0.67216,                0.71425,                0.70595,                0.18702,                0.84307,                0.77938,              0.0009604,              0.0009604,              0.0009604
                      6,                0.34892,                0.73974,                0.92107,                0.70539,                0.69708,                0.74519,                0.73844,                0.18205,                0.75525,                0.77636,              0.0009505,              0.0009505,              0.0009505
                      7,                0.33435,                0.63344,                0.90923,                0.69619,                0.73136,                0.76944,                0.76196,                0.18041,                0.74423,                0.77646,              0.0009406,              0.0009406,              0.0009406
                      8,                0.33223,                0.60688,                0.91044,                 0.7301,                0.72694,                0.76876,                0.76164,                0.17758,                0.72339,                 0.7764,              0.0009307,              0.0009307,              0.0009307
                      9,                0.33992,                0.57073,                0.91825,                0.71862,                0.74364,                0.79014,                0.78372,                 0.1711,                0.69975,                0.77465,              0.0009208,              0.0009208,              0.0009208
                     10,                0.33181,                0.52938,                0.91499,                0.75135,                 0.7303,                0.78327,                0.77744,                0.17129,                0.67464,                0.77434,              0.0009109,              0.0009109,              0.0009109
