                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54109,                 3.0855,                0.95772,                0.05913,                0.81384,                0.16551,                0.15561,                0.29098,                 2.5648,                0.79451,               0.067229,             0.00033102,             0.00033102
                      2,                0.47582,                  2.407,                0.92988,                0.17744,                0.66214,                0.24925,                0.24125,                0.25779,                 2.0279,                0.78113,               0.034223,             0.00065777,             0.00065777
                      3,                0.47267,                 2.0252,                0.92524,                0.27368,                0.60611,                0.35809,                0.35025,                0.24402,                 1.7151,                0.78048,              0.0012094,             0.00097793,             0.00097793
                      4,                0.46295,                 1.7771,                0.91441,                0.33475,                0.72328,                0.46671,                0.45566,                0.24324,                 1.5105,                0.77815,              0.0009703,              0.0009703,              0.0009703
                      5,                0.44024,                 1.6525,                0.90237,                0.45219,                0.63877,                 0.5457,                0.53492,                0.23272,                 1.3856,                0.77463,              0.0009604,              0.0009604,              0.0009604
                      6,                  0.424,                 1.5245,                0.89907,                0.54783,                0.59617,                0.59907,                0.58745,                0.22676,                 1.2697,                0.77456,              0.0009505,              0.0009505,              0.0009505
                      7,                0.41187,                  1.412,                0.89302,                0.54081,                0.65541,                0.64044,                0.62917,                0.22357,                 1.2237,                0.77286,              0.0009406,              0.0009406,              0.0009406
                      8,                0.40687,                 1.3451,                0.89381,                0.66554,                0.62822,                0.67604,                0.66545,                0.21748,                 1.1743,                0.77147,              0.0009307,              0.0009307,              0.0009307
                      9,                0.41535,                 1.2946,                0.89471,                0.58999,                0.70761,                0.69538,                0.68435,                0.21929,                 1.1039,                0.77093,              0.0009208,              0.0009208,              0.0009208
                     10,                0.41145,                 1.2285,                0.89326,                0.65836,                0.68695,                0.70849,                0.69764,                0.21221,                 1.0825,                0.77023,              0.0009109,              0.0009109,              0.0009109
                     11,                 0.4109,                 1.1827,                0.89186,                0.63592,                0.68838,                0.70625,                0.69686,                0.21203,                 1.0983,                0.77003,               0.000901,               0.000901,               0.000901
                     12,                0.39965,                 1.1649,                0.88705,                0.66498,                0.66563,                0.71937,                0.70879,                0.20933,                 1.0644,                0.76978,              0.0008911,              0.0008911,              0.0008911
                     13,                0.39188,                  1.113,                 0.8915,                0.67756,                0.69567,                0.73681,                 0.7268,                0.20438,                  1.026,                0.76942,              0.0008812,              0.0008812,              0.0008812
                     14,                 0.3884,                  1.067,                0.89109,                0.70173,                0.70809,                0.75249,                0.74225,                0.20681,                0.97475,                0.76944,              0.0008713,              0.0008713,              0.0008713
                     15,                0.38703,                 1.0426,                0.88855,                0.68783,                0.72201,                 0.7631,                0.75301,                0.20735,                0.98274,                0.76957,              0.0008614,              0.0008614,              0.0008614
                     16,                0.38364,                 1.0086,                 0.8872,                0.68616,                0.72268,                0.76239,                 0.7513,                 0.2074,                0.97393,                0.76968,              0.0008515,              0.0008515,              0.0008515
                     17,                0.38041,                0.98647,                 0.8831,                0.66775,                0.73983,                0.76464,                0.75564,                 0.2007,                0.94086,                0.76705,              0.0008416,              0.0008416,              0.0008416
                     18,                0.38153,                0.98965,                0.89066,                0.70016,                0.74813,                0.76868,                0.75812,                0.20341,                0.94034,                0.76798,              0.0008317,              0.0008317,              0.0008317
                     19,                0.37691,                0.94235,                0.88576,                 0.7356,                0.72703,                0.78229,                0.77229,                0.20205,                0.89996,                0.76786,              0.0008218,              0.0008218,              0.0008218
                     20,                0.37418,                0.92368,                0.88902,                0.71325,                0.72283,                0.78307,                 0.7727,                0.19925,                0.91231,                0.76767,              0.0008119,              0.0008119,              0.0008119
                     21,                0.37785,                0.92488,                0.88442,                0.72646,                0.72407,                0.77455,                0.76449,                0.20082,                0.93134,                0.76719,               0.000802,               0.000802,               0.000802
                     22,                0.37557,                0.91792,                0.88488,                0.71963,                0.72189,                0.76853,                 0.7575,                0.20058,                0.91391,                0.76763,              0.0007921,              0.0007921,              0.0007921
                     23,                0.36843,                 0.8834,                0.88186,                0.77268,                 0.7073,                0.77701,                0.76542,                0.20091,                0.89685,                0.76717,              0.0007822,              0.0007822,              0.0007822
                     24,                0.36453,                0.86333,                0.88523,                0.73491,                0.74245,                0.79372,                 0.7824,                0.19832,                0.85959,                0.76737,              0.0007723,              0.0007723,              0.0007723
                     25,                 0.3722,                0.84677,                0.88637,                0.74155,                0.73588,                 0.7934,                0.78337,                0.19661,                0.84956,                0.76688,              0.0007624,              0.0007624,              0.0007624
                     26,                0.36525,                0.84716,                0.88234,                0.69947,                0.73068,                 0.7615,                0.75189,                0.19546,                 0.9134,                 0.7666,              0.0007525,              0.0007525,              0.0007525
                     27,                0.37565,                0.82399,                0.88307,                0.73067,                0.72871,                0.78745,                0.77667,                0.19956,                0.88717,                0.76679,              0.0007426,              0.0007426,              0.0007426
