                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67096,                 3.2501,                 1.0748,                0.22361,                0.52514,                0.24216,                0.22444,                0.34095,                 2.0521,                0.84147,               0.067229,             0.00033102,             0.00033102
                      2,                0.50199,                 1.7873,                 1.0111,                0.38025,                0.60232,                0.45941,                 0.4461,                0.25232,                 1.4077,                0.79021,               0.034223,             0.00065777,             0.00065777
                      3,                0.44521,                 1.3966,                 0.9605,                 0.4718,                0.65377,                0.56796,                0.55722,                0.22491,                 1.1645,                0.77625,              0.0012094,             0.00097793,             0.00097793
                      4,                0.41846,                 1.1046,                0.92392,                0.55693,                0.67191,                0.65657,                0.64577,                0.21358,                0.93255,                0.77109,              0.0009703,              0.0009703,              0.0009703
                      5,                0.39761,                0.95757,                0.90624,                0.64234,                0.67212,                0.70537,                0.69383,                0.20817,                0.83214,                0.76989,              0.0009604,              0.0009604,              0.0009604
                      6,                0.38232,                0.85294,                0.89997,                0.63705,                0.67802,                0.71146,                0.70278,                0.19835,                0.81303,                0.76774,              0.0009505,              0.0009505,              0.0009505
                      7,                0.36718,                0.74817,                0.89454,                0.64415,                0.70468,                0.74463,                0.73582,                0.19691,                0.75895,                0.76831,              0.0009406,              0.0009406,              0.0009406
                      8,                 0.3601,                0.70575,                 0.8971,                0.70814,                0.69738,                0.75774,                 0.7498,                0.19093,                 0.7302,                0.76847,              0.0009307,              0.0009307,              0.0009307
                      9,                0.36624,                0.65845,                0.89999,                0.69424,                 0.7216,                0.76427,                0.75585,                0.19079,                0.70595,                0.76723,              0.0009208,              0.0009208,              0.0009208
                     10,                 0.3632,                0.62256,                0.89711,                0.70925,                0.71379,                0.76694,                0.75819,                 0.1907,                0.70107,                0.76656,              0.0009109,              0.0009109,              0.0009109
                     11,                0.36698,                0.59688,                0.89847,                0.71386,                 0.7059,                0.76289,                0.75486,                0.18851,                0.74595,                0.76731,               0.000901,               0.000901,               0.000901
                     12,                 0.3519,                0.57812,                0.88854,                0.70078,                0.72549,                0.77354,                0.76641,                0.18552,                 0.6776,                0.76723,              0.0008911,              0.0008911,              0.0008911
                     13,                0.34733,                0.54142,                0.89504,                0.73266,                0.71226,                0.77838,                0.77191,                0.18103,                0.68414,                0.76591,              0.0008812,              0.0008812,              0.0008812
                     14,                0.34552,                0.52168,                0.89261,                0.70908,                0.73162,                 0.7762,                0.76897,                0.18527,                0.70689,                0.76613,              0.0008713,              0.0008713,              0.0008713
                     15,                0.34816,                0.51956,                0.89504,                0.71814,                0.72348,                0.77917,                0.77153,                0.18265,                 0.6762,                0.76651,              0.0008614,              0.0008614,              0.0008614
                     16,                0.34124,                0.49224,                0.89196,                0.70852,                0.73496,                0.77674,                0.76947,                  0.181,                0.68155,                 0.7656,              0.0008515,              0.0008515,              0.0008515
                     17,                0.33968,                 0.4829,                0.88777,                0.72241,                0.74035,                 0.7922,                0.78602,                0.18086,                0.67511,                 0.7655,              0.0008416,              0.0008416,              0.0008416
                     18,                0.34139,                0.47228,                0.89601,                 0.7332,                0.74561,                0.79626,                0.78886,                0.18033,                0.64566,                0.76546,              0.0008317,              0.0008317,              0.0008317
                     19,                0.33396,                0.45229,                0.89258,                0.75073,                0.74382,                0.79689,                0.79024,                0.18147,                0.65922,                0.76617,              0.0008218,              0.0008218,              0.0008218
                     20,                0.33536,                0.44491,                0.89887,                0.74829,                0.74688,                0.79381,                0.78593,                0.18234,                0.63885,                0.76683,              0.0008119,              0.0008119,              0.0008119
                     21,                 0.3383,                0.45259,                0.89389,                0.73464,                0.75981,                0.79971,                  0.793,                0.17751,                0.62884,                0.76549,               0.000802,               0.000802,               0.000802
                     22,                0.33334,                0.43364,                0.88964,                 0.7644,                0.73745,                0.80504,                0.79784,                0.17761,                0.61955,                0.76597,              0.0007921,              0.0007921,              0.0007921
                     23,                0.32968,                0.41962,                0.88543,                0.74555,                0.75229,                0.80519,                0.79861,                0.17704,                0.62819,                0.76726,              0.0007822,              0.0007822,              0.0007822
                     24,                0.32701,                0.41129,                0.89126,                0.74778,                0.73435,                0.79646,                0.78969,                0.17574,                0.68605,                0.76773,              0.0007723,              0.0007723,              0.0007723
                     25,                0.33268,                0.41428,                0.89619,                0.75199,                0.73274,                0.78814,                0.78223,                0.17317,                0.66317,                0.76661,              0.0007624,              0.0007624,              0.0007624
                     26,                0.32653,                 0.4108,                0.88623,                0.74454,                0.72499,                0.78465,                0.77815,                0.17674,                0.68543,                0.76606,              0.0007525,              0.0007525,              0.0007525
                     27,                0.33815,                0.40956,                0.88859,                0.77827,                0.73591,                0.80955,                0.80264,                0.17561,                0.63657,                0.76557,              0.0007426,              0.0007426,              0.0007426
                     28,                 0.3301,                0.39972,                  0.888,                0.75471,                0.74355,                0.79457,                0.78791,                0.17344,                0.66356,                0.76538,              0.0007327,              0.0007327,              0.0007327
                     29,                0.32934,                0.38546,                0.89164,                0.77577,                0.73409,                0.80319,                0.79654,                 0.1737,                0.62308,                0.76486,              0.0007228,              0.0007228,              0.0007228
                     30,                0.32938,                0.38845,                0.89545,                0.74956,                0.74987,                0.78766,                 0.7807,                0.17527,                0.66573,                0.76604,              0.0007129,              0.0007129,              0.0007129
                     31,                0.31979,                0.38405,                0.88438,                0.75481,                0.75411,                0.80709,                0.80042,                0.17315,                0.65826,                0.76444,               0.000703,               0.000703,               0.000703
                     32,                0.32816,                0.37741,                 0.8929,                0.75816,                0.72972,                0.79746,                0.79097,                0.17182,                0.66947,                0.76495,              0.0006931,              0.0006931,              0.0006931
